161873.102;161561.344;161120.325;160973.411;160558.601;160340.040;160200.814;160149.823;159837.523;159757.410;159701.413;159761.661;159680.362;159555.476;159686.625;159850.288;159613.428;159607.800;159307.567;159750.175;159439.833;159846.140;160199.073;160777.148;161024.303;161385.841;161635.551;161716.879;161481.632;161308.741;161207.225;161278.619;161007.902;160873.004;160935.995;160978.478;161005.500;161057.126;161328.573;161411.114;161377.727;161671.078;161551.456;161793.440;161977.492;161927.492;162234.223;162468.108;162634.407;163001.207;163294.298;163794.956;164155.703;164608.881;165072.360;165423.250;166099.099;166616.048;166853.570;167491.096;168485.919;169466.138;170436.214;171658.903;172145.450;171861.299;171188.538;170777.950;171242.553;171695.051;173017.723;172758.878;171842.972;170623.339;169953.986;170503.718;172253.348;173184.916;171982.781;171763.838;170892.806;170397.980;171320.806;171821.478;171504.589;171351.871;171106.035;171430.323;171248.178;171407.355;171303.110;171038.258;170454.442;170943.658;170748.609;171022.239;170368.649;171042.709;170579.930;171047.151;170465.966;170424.325;170810.987;171061.317;170522.635;170537.418;170169.469;170349.383;169217.875;170436.385;170536.703;169983.542;169151.075;169125.817;168335.021;168958.112;169001.042;169922.362;169620.819;170478.759;169469.090;169616.952;168162.909;168679.154;168468.197;168650.525;169595.505;169871.128;170052.442;169647.564;168090.102;167485.885;167757.011;169233.773;170424.980;169846.579;167026.602;159593.501;142870.571;118321.026;85129.069;52133.132;26403.793;11013.782;3837.218;1478.466;957.739;699.401;581.605;545.775;547.388;472.270;519.776;667.807;464.989;785.268;461.452;528.098;439.943;444.148;377.347;600.834;583.666;325.382;399.101;493.508;384.089;390.209;316.585;421.189;340.730;335.528;215.860;0.000;0.000;0.000;0.000;0.000;0.000

Samples: 283
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
0.635;0.630;0.645;0.000;0.645;0.625;0.665;0.650;0.690;0.645;0.000;0.000;0.685;0.000;0.000;0.635;0.645;0.650;0.635;0.640;0.000;0.650;0.000;0.650;0.655;0.635;0.655;0.000;0.655;0.640;0.000;0.660;0.000;0.000;0.000;0.000;0.000;0.000;0.625;0.000;0.000;0.660;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.620;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
1662.635;2032.630;2470.645;1981.805;1896.645;2026.625;1969.665;1974.650;2073.690;1848.645;2383.690;1646.655;2055.685;1070.645;1945.665;1966.635;2006.645;2209.650;2013.635;2159.640;1728.665;1918.650;2037.645;2628.650;2136.655;1750.635;2172.655;1696.650;1799.655;1786.640;1800.655;2061.660;1915.640;2214.645;1221.620;1882.630;1119.630;2299.660;3080.625;1847.665;1660.650;2404.660;1213.640;1911.640;2623.640;1674.670;1364.640;1861.660;1644.620;2415.645;1578.635;1250.640;2141.640;2082.650;1718.625;1974.655;1841.645;2305.660;1946.620;2158.655;1771.640;2135.645;1257.630;2151.665;1279.635;2191.670;2196.640;1826.675;1867.630;1851.650;2155.650;1458.675;1661.630;2200.645;1487.640;2272.660;1490.650;2070.630;1309.650;1847.655;1682.655;1706.625;2256.650;2455.640;1982.660;1495.640;1726.635;1956.650;1896.630;2008.575;2064.540;1981.555;1583.570;2277.600;2004.560;2442.590;1567.550;2411.605;1721.570;2254.590;1927.570;1520.605;1906.545;1859.590;2532.550;2012.595;2387.560;2177.560;1541.565;2044.570;2628.560;1990.560;2544.555;2156.580;2270.535;2249.570;2642.565;2265.560;2005.560;2982.570;2384.565;2663.550;2055.590;2845.545;3068.565;2726.555;4121.580;2819.565;3513.545;4988.570;3996.575;2964.565;2128.590;2992.555;3734.550;2007.545;3707.595;2416.570;3106.575;2410.570;1858.580;1259.565;350.535;233.565;107.560;22.555;14.575;6.550;7.595;8.560;6.585;7.540;6.585;7.560;6.580;6.545;5.600;6.545;6.570;4.535;5.585;4.555;6.570;5.530;4.570;6.550;3.555;3.545;4.585;4.555;2.550;3.555;3.575;4.555;3.550;5.530;2.555;3.580;3.540
1701.635;2076.630;2525.645;2024.805;1940.645;2072.625;2012.665;2019.650;2119.690;1888.645;2439.690;1684.655;2101.685;1094.645;1986.665;2008.635;2048.645;2253.650;2061.635;2204.640;1767.665;1962.650;2081.645;2683.650;2183.655;1787.635;2220.655;1733.650;1839.655;1824.640;1840.655;2107.660;1957.640;2257.645;1249.620;1924.630;1144.630;2345.660;3144.625;1889.665;1698.650;2454.660;1243.640;1951.640;2677.640;1710.670;1394.640;1904.660;1679.620;2463.645;1611.635;1278.640;2185.640;2126.650;1758.625;2014.655;1880.645;2351.660;1988.620;2202.655;1811.640;2178.645;1286.630;2195.665;1307.635;2238.670;2241.640;1863.675;1909.630;1891.650;2202.650;1487.675;1697.630;2244.645;1519.640;2317.660;1523.650;2112.630;1337.650;1887.655;1715.655;1744.625;2299.650;2503.640;2023.660;1528.640;1760.635;1997.650;1936.630;2053.575;2103.540;2020.555;1615.570;2326.600;2042.560;2492.590;1600.550;2462.605;1756.570;2296.590;1965.570;1554.605;1943.545;1896.590;2582.550;2052.595;2435.560;2219.560;1574.565;2087.570;2679.560;2031.560;2598.555;2200.580;2315.535;2295.570;2695.565;2310.560;2049.560;3044.570;2433.565;2719.550;2099.590;2903.545;3134.565;2787.555;4209.580;2879.565;3590.545;5092.570;4076.575;3023.565;2167.590;3042.555;3798.550;2041.545;3762.595;2452.570;3152.575;2442.570;1884.580;1279.565;357.535;238.565;110.560;26.555;15.575;9.550;9.595;8.560;8.585;8.540;7.585;8.560;7.580;7.545;7.600;8.545;6.570;6.535;6.585;6.555;8.570;6.530;5.570;7.550;5.555;5.545;5.585;5.555;5.550;4.555;4.575;3.555;5.550;6.530;4.555;4.580;6.540
1701.635;2077.630;2527.645;2024.805;1939.645;2072.625;2014.665;2021.650;2122.690;1889.645;2434.690;1685.655;2102.685;1095.645;1989.665;2012.635;2050.645;2255.650;2061.635;2206.640;1770.665;1962.650;2084.645;2688.650;2188.655;1789.635;2225.655;1736.650;1840.655;1828.640;1841.655;2106.660;1958.640;2259.645;1250.620;1923.630;1145.630;2347.660;3149.625;1892.665;1700.650;2457.660;1243.640;1951.640;2682.640;1710.670;1393.640;1904.660;1680.620;2468.645;1612.635;1278.640;2188.640;2127.650;1758.625;2014.655;1883.645;2354.660;1988.620;2204.655;1814.640;2180.645;1287.630;2197.665;1308.635;2242.670;2243.640;1863.675;1910.630;1893.650;2204.650;1492.675;1699.630;2247.645;1522.640;2321.660;1525.650;2114.630;1337.650;1887.655;1717.655;1744.625;2301.650;2505.640;2023.660;1527.640;1762.635;2000.650;1936.630;2053.575;2105.540;2024.555;1614.570;2324.600;2043.560;2495.590;1600.550;2466.605;1759.570;2302.590;1967.570;1556.605;1946.545;1897.590;2586.550;2057.595;2436.560;2222.560;1574.565;2091.570;2681.560;2034.560;2600.555;2203.580;2319.535;2297.570;2697.565;2316.560;2049.560;3047.570;2434.565;2723.550;2101.590;2908.545;3137.565;2790.555;4213.580;2882.565;3593.545;5099.570;4080.575;3026.565;2170.590;3044.555;3801.550;2042.545;3763.595;2452.570;3155.575;2445.570;1888.580;1282.565;357.535;240.565;110.560;25.555;15.575;8.550;9.595;8.560;8.585;8.540;8.585;8.560;6.580;8.545;7.600;8.545;6.570;6.535;7.585;6.555;7.570;6.530;5.570;7.550;5.555;5.545;5.585;6.555;4.550;5.555;4.575;5.555;4.550;6.530;4.555;6.580;6.540
1702.635;2076.630;2528.645;2024.805;1941.645;2073.625;2013.665;2021.650;2123.690;1892.645;2439.690;1684.655;2104.685;1094.645;1988.665;2011.635;2054.645;2258.650;2063.635;2209.640;1767.665;1962.650;2086.645;2688.650;2186.655;1791.635;2222.655;1734.650;1843.655;1826.640;1842.655;2109.660;1958.640;2261.645;1252.620;1927.630;1146.630;2348.660;3154.625;1890.665;1699.650;2456.660;1243.640;1956.640;2681.640;1710.670;1394.640;1904.660;1682.620;2467.645;1614.635;1280.640;2190.640;2130.650;1760.625;2017.655;1885.645;2357.660;1990.620;2208.655;1814.640;2184.645;1287.630;2199.665;1309.635;2242.670;2243.640;1866.675;1912.630;1893.650;2205.650;1492.675;1699.630;2246.645;1521.640;2324.660;1525.650;2114.630;1340.650;1890.655;1717.655;1745.625;2303.650;2509.640;2025.660;1528.640;1763.635;2000.650;1936.630;2055.575;2105.540;2024.555;1616.570;2326.600;2045.560;2495.590;1601.550;2467.605;1759.570;2302.590;1970.570;1556.605;1947.545;1898.590;2585.550;2058.595;2439.560;2225.560;1574.565;2092.570;2684.560;2034.560;2599.555;2203.580;2319.535;2296.570;2697.565;2315.560;2050.560;3047.570;2435.565;2725.550;2102.590;2911.545;3138.565;2791.555;4213.580;2882.565;3593.545;5102.570;4084.575;3029.565;2172.590;3048.555;3804.550;2043.545;3769.595;2455.570;3157.575;2450.570;1892.580;1284.565;357.535;240.565;110.560;25.555;15.575;9.550;9.595;9.560;8.585;8.540;7.585;9.560;7.580;7.545;7.600;8.545;6.570;6.535;7.585;6.555;8.570;6.530;4.570;8.550;5.555;4.545;5.585;7.555;5.550;4.555;4.575;3.555;6.550;6.530;5.555;5.580;6.540
1685.635;2056.630;2504.645;2006.805;1924.645;2055.625;1995.665;2001.650;2103.690;1873.645;2419.690;1668.655;2086.685;1085.645;1970.665;1992.635;2035.645;2238.650;2046.635;2189.640;1753.665;1947.650;2065.645;2664.650;2166.655;1776.635;2202.655;1719.650;1823.655;1812.640;1824.655;2090.660;1941.640;2241.645;1239.620;1911.630;1135.630;2329.660;3118.625;1873.665;1683.650;2435.660;1232.640;1937.640;2660.640;1696.670;1380.640;1888.660;1665.620;2444.645;1598.635;1267.640;2170.640;2111.650;1746.625;1999.655;1866.645;2335.660;1971.620;2186.655;1795.640;2165.645;1274.630;2179.665;1296.635;2223.670;2225.640;1848.675;1894.630;1876.650;2185.650;1478.675;1684.630;2227.645;1508.640;2300.660;1510.650;2097.630;1327.650;1874.655;1702.655;1727.625;2282.650;2484.640;2005.660;1512.640;1748.635;1982.650;1919.630;2034.575;2086.540;2008.555;1600.570;2302.600;2027.560;2473.590;1584.550;2442.605;1741.570;2280.590;1949.570;1541.605;1928.545;1880.590;2563.550;2034.595;2416.560;2205.560;1560.565;2069.570;2660.560;2017.560;2574.555;2182.580;2299.535;2276.570;2674.565;2292.560;2033.560;3022.570;2413.565;2698.550;2082.590;2881.545;3108.565;2763.555;4174.580;2857.565;3562.545;5052.570;4050.575;3002.565;2153.590;3024.555;3779.550;2030.545;3744.595;2439.570;3139.575;2436.570;1881.580;1275.565;356.535;239.565;110.560;26.555;15.575;8.550;9.595;8.560;8.585;8.540;8.585;10.560;7.580;7.545;7.600;9.545;6.570;6.535;6.585;6.555;7.570;6.530;6.570;7.550;5.555;5.545;5.585;6.555;4.550;5.555;4.575;4.555;4.550;6.530;4.555;5.580;6.540
