Calibration: -1982774483
Time: 2017-08-06 15:14:13
Calibration type: Proton
FieldSize: 10 [cm]
SSD: 230 [cm]
Sampling time: 1000 [ms]
Background time: 60 [s]
Channel count (active): 179

Sampled channel data:
115742.000;142176.000;173711.000;139095.000;133812.000;143128.000;139241.000;139470.000;147026.000;131104.000;169497.000;116786.000;146425.000;75651.000;138375.000;139753.000;142741.000;157162.000;143554.000;153513.000;123205.000;136775.000;145492.000;187290.000;152532.000;124665.000;155025.000;120606.000;128367.000;127009.000;128507.000;146963.000;136791.000;158061.000;86495.000;134107.000;79268.000;164027.000;220070.000;131709.000;118520.000;171297.000;86334.000;135502.000;186931.000;119016.000;96533.000;132081.000;116055.000;171540.000;111165.000;87929.000;151485.000;147455.000;121152.000;139454.000;129962.000;162547.000;136982.000;151894.000;124265.000;149826.000;87210.000;150493.000;88965.000;152804.000;152896.000;126783.000;129783.000;128519.000;149352.000;100720.000;114320.000;151690.000;101926.000;156013.000;156212.000;101824.000;141147.000;89019.000;125159.000;113868.000;115621.000;151997.000;165204.000;133118.000;100198.000;115197.000;130415.000;125692.000;133238.000;136107.000;130107.000;103774.000;148485.000;130292.000;158102.000;100843.000;154849.000;110074.000;143118.000;122265.000;96145.000;119240.000;115516.000;156916.000;123659.000;145725.000;131675.000;92913.000;121809.000;154813.000;116284.000;147816.000;123411.000;128400.000;125591.000;146360.000;122987.000;107574.000;156681.000;123061.000;133859.000;100763.000;134940.000;140403.000;119666.000;173482.000;114868.000;140396.000;198403.000;160206.000;119579.000;85955.000;121392.000;152584.000;82687.000;156805.000;106419.000;152368.000;141380.000;150477.000;166060.000;91373.000;148935.000;203646.000;131162.000;156471.000;117191.000;154296.000;161517.000;148590.000;185182.000;156982.000;145830.000;172998.000;107855.000;175256.000;200005.000;180640.000;170647.000;233093.000;121315.000;201145.000;288924.000;188909.000;264072.000;228709.000;227544.000;355094.000;331673.000;284664.000;251661.000;260129.000;103644.000;133869.000;92756.000;23035.000;6652.000;2640.000
Uniformity factors:
1.026;0.835;0.683;0.854;0.887;0.830;0.853;0.851;0.808;0.906;0.701;1.017;0.812;1.571;0.859;0.851;0.833;0.756;0.827;0.773;0.963;0.869;0.819;0.637;0.784;0.961;0.773;0.993;0.933;0.942;0.930;0.813;0.872;0.754;1.378;0.888;1.501;0.725;0.540;0.902;1.002;0.693;1.374;0.874;0.633;0.993;1.223;0.893;1.016;0.687;1.060;1.339;0.777;0.798;0.970;0.842;0.903;0.722;0.856;0.772;0.943;0.781;1.342;0.777;1.314;0.765;0.764;0.920;0.899;0.907;0.780;1.156;1.018;0.767;1.140;0.745;1.140;0.822;1.302;0.926;1.018;1.002;0.762;0.701;0.870;1.156;1.006;0.888;0.922;0.869;0.851;0.890;1.116;0.780;0.889;0.733;1.149;0.749;1.053;0.810;0.949;1.207;0.974;1.006;0.741;0.941;0.799;0.885;1.256;0.958;0.755;1.007;0.794;0.953;0.919;0.942;0.810;0.966;1.108;0.762;0.973;0.897;1.195;0.895;0.863;1.016;0.703;1.066;0.875;0.621;0.772;1.037;1.448;1.030;0.823;1.526;0.808;1.197;0.842;0.915;0.867;0.792;1.451;0.898;0.662;1.037;0.877;1.181;0.905;0.877;0.968;0.788;0.942;1.029;0.882;1.440;0.904;0.812;0.924;1.006;0.757;1.506;0.942;0.685;1.107;0.845;1.061;1.167;0.821;0.936;1.063;1.032;0.724;0.000;0.000;0.000;0.000;0.000;0.000
Channel indexes:
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179
