Water phantom
SSD: 2300
Water offset (build-up): 0.0
Radiation type: Proton
X:20.3;25.3;30.3;35.3;40.3;45.3;50.3;55.3;60.3;65.3;70.3;80.3;90.3;100.3;110.3;120.3;130.3;140.3;150.3;160.3;170.3;180.3;190.3;200.3;210.3;220.3;230.3;240.3;250.3;260.3;270.3;280.3;290.3;292.3;294.3;296.3;297.3;298.3;300.3;302.3;305.3;307.3;309.3;310.3;312.3;314.3;315.3;317.3;318.3;319.3;320.3;322.3;324.3;326.3;327.3;328.3;330.3;332.3;335.3;338.3;345.3
Y:38.050;38.085;38.12;38.078;38.036;38.238;38.439;38.363;38.286;38.203;38.12;38.022;37.814;37.703;37.592;37.481;37.37;37.259;37.148;37.134;37.12;37.141;37.162;37.307;37.453;37.967;38.481;39.161;39.842;40.842;42.675;44.702;48.257;49.188;50.187;51.326;52.118;52.784;54.534;56.034;59.228;61.686;64.908;67.06;71.879;78.795;82.558;91.585;95.862;99.236;100;94.779;71.823;45.508;31.301;21.691;7.721;2.125;0;0;0
