Calibration: -1982774482
Time: 2017-08-06 15:20:38
Calibration type: Proton
FieldSize: 10 [cm]
SSD: 230 [cm]
Sampling time: 1000 [ms]
Background time: 60 [s]
Channel count (active): 179

Sampled channel data:
186227.000;226785.000;277138.000;221927.000;213491.000;228332.000;222117.000;222896.000;234912.000;209312.000;270104.000;186642.000;233421.000;121906.000;221041.000;223168.000;228452.000;251114.000;230698.000;245187.000;196900.000;218405.000;232013.000;298728.000;243218.000;199401.000;247122.000;192626.000;204785.000;204012.000;205330.000;234689.000;218618.000;252456.000;139795.000;215635.000;128082.000;261715.000;350764.000;210269.000;189272.000;273344.000;138390.000;218141.000;298074.000;190236.000;154885.000;211209.000;186863.000;273589.000;179285.000;141551.000;242469.000;235288.000;194651.000;222582.000;208036.000;259974.000;219585.000;243443.000;199652.000;240336.000;141429.000;240518.000;142696.000;244046.000;243810.000;202525.000;207200.000;205334.000;238164.000;161034.000;183355.000;241770.000;163667.000;248653.000;249471.000;162966.000;225291.000;142632.000;200627.000;181957.000;184868.000;242474.000;263157.000;212284.000;159939.000;184124.000;207932.000;200732.000;212413.000;216826.000;208486.000;165545.000;236628.000;207635.000;252661.000;161907.000;247361.000;175787.000;228465.000;195029.000;153567.000;190725.000;184531.000;250244.000;197290.000;232369.000;210526.000;148940.000;194795.000;247452.000;186096.000;235878.000;197313.000;205941.000;200784.000;233176.000;196902.000;172016.000;250004.000;196577.000;214048.000;161577.000;215346.000;223973.000;191032.000;276513.000;183610.000;224345.000;316120.000;255370.000;190987.000;138063.000;193906.000;243481.000;132695.000;250318.000;170229.000;243267.000;225617.000;240284.000;264851.000;146607.000;237645.000;324707.000;209486.000;249963.000;187630.000;246404.000;257692.000;237731.000;295747.000;251236.000;233536.000;276050.000;173260.000;279622.000;319047.000;288316.000;272984.000;371401.000;194197.000;320853.000;459970.000;301814.000;420366.000;364626.000;362381.000;564997.000;527924.000;453741.000;401791.000;416072.000;167046.000;215468.000;149639.000;37828.000;10897.000;4244.000
Uniformity factors:
1.010;0.830;0.679;0.848;0.881;0.824;0.847;0.844;0.801;0.899;0.697;1.009;0.807;1.546;0.853;0.845;0.825;0.750;0.816;0.768;0.955;0.863;0.814;0.633;0.779;0.953;0.769;0.986;0.927;0.929;0.923;0.807;0.865;0.749;1.351;0.875;1.472;0.720;0.537;0.895;0.994;0.688;1.358;0.861;0.629;0.985;1.208;0.885;1.000;0.683;1.041;1.318;0.769;0.792;0.957;0.836;0.894;0.715;0.846;0.763;0.930;0.772;1.311;0.771;1.298;0.759;0.759;0.913;0.892;0.900;0.775;1.146;1.006;0.762;1.126;0.741;1.129;0.816;1.288;0.916;1.009;0.994;0.757;0.698;0.865;1.148;0.997;0.883;0.915;0.864;0.847;0.881;1.109;0.776;0.885;0.727;1.135;0.743;1.045;0.804;0.943;1.198;0.965;0.998;0.737;0.935;0.795;0.878;1.241;0.950;0.748;0.997;0.789;0.945;0.908;0.934;0.806;0.957;1.098;0.757;0.966;0.889;1.181;0.889;0.858;1.009;0.699;1.057;0.868;0.618;0.767;1.029;1.429;1.022;0.818;1.507;0.803;1.186;0.836;0.909;0.861;0.787;1.434;0.892;0.658;1.030;0.870;1.169;0.899;0.872;0.959;0.782;0.934;1.018;0.876;1.422;0.899;0.808;0.918;0.997;0.754;1.493;0.937;0.683;1.100;0.842;1.057;1.164;0.819;0.932;1.056;1.017;0.709;0.000;0.000;0.000;0.000;0.000;0.000
Channel indexes:
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179
